graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.873,0.8733457142857143,0.8778,0.35660000000000003,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6192857142857143,0.621637142857143,0.6270857142857142,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8885142857142858,0.8889285714285716,0.8933142857142856,0.4074,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6153142857142857,0.6179314285714287,0.6226857142857144,0.0172,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8115714285714286,0.8102685714285714,0.815857142857143,0.209,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=1.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8680857142857145,0.8691742857142858,0.8766571428571429,0.3726,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=1.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6389428571428571,0.6405771428571428,0.6432571428571429,0.0698,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=1.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.881,0.8814142857142857,0.8924571428571427,0.4258,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=1.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6139142857142856,0.6164799999999999,0.6217428571428572,0.0218,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=1.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7973142857142858,0.7999628571428572,0.8130285714285714,0.2152,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=2.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8670285714285715,0.8674028571428571,0.8756857142857143,0.37259999999999993,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=2.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6351714285714286,0.63474,0.6367142857142858,0.0772,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=2.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8775714285714286,0.8782542857142858,0.889457142857143,0.4264,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=2.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6084571428571428,0.6106685714285713,0.6201714285714285,0.0214,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=2.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7939142857142857,0.7957542857142857,0.8132857142857143,0.2178,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=4.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8679142857142856,0.8680457142857143,0.8729714285714286,0.37220000000000003,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=4.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6081428571428571,0.6087742857142857,0.6133428571428572,0.039,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=4.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8768,0.8774228571428571,0.8887142857142857,0.42940000000000006,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=4.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5719428571428572,0.5742914285714286,0.5901714285714287,0.020800000000000003,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=4.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7934285714285714,0.7949457142857144,0.8134571428571429,0.2168,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=0.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8721399999999999,0.8728259999999999,0.8762999999999999,0.1132,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=0.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6819200000000001,0.6830040000000001,0.68518,0.0118,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=0.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8722199999999999,0.8728440000000001,0.8763,0.1132,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=0.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6805,0.6826920000000001,0.6871,0.011,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=0.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8241800000000001,0.8256160000000001,0.8309799999999999,0.06,0.0,0.0,0.0,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=1.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.85732,0.860178,0.8733799999999998,0.13219999999999998,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=1.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.64334,0.648782,0.67424,0.0076,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=1.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.82988,0.8314539999999999,0.83796,0.1066,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=1.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.64832,0.6524479999999999,0.67428,0.007599999999999999,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=1.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8109,0.814796,0.82962,0.0676,1.0,1.0,0.9899999999999999,0.0,2.0,1.98
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=2.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.83984,0.844222,0.86984,0.13440000000000002,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
erdos_renyi,8,2,1,QTL ascending schedule with average gamma=2.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.65768,0.64658,0.67278,0.0844,2.0,2.0,1.9799999999999998,0.0,4.0,3.96
